num,name,scheme,family,cls,corr,complexity,source,sorry,done,genuine,file
102,Binary Tree Level Order Traversal,relaxation,bfs,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/Relaxation/P0102_LevelOrderTraversal.lean
103,,relaxation,bfs,False,False,,,False,False,,
104,Maximum Depth of Binary Tree,dp,tree-aggregate,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/DP/P0104_MaxDepth.lean
105,Construct Binary Tree from Preorder and Inorder Traversal,dp,tree-construct,True,True,,,False,True,True,lproofs/Lproofs/Problems/DP/P0105_ConstructBTfromPreandIn.lean
108,Convert Sorted Array to Binary Search Tree,dp,tree-construct,True,True,,,False,True,True,lproofs/Lproofs/Problems/DP/P0108_SortedArrayToBST.lean
109,,dp,tree-construct,False,False,,,False,False,,
110,Balanced Binary Tree,dp,tree-aggregate,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/DP/P0110_BalancedBinaryTree.lean
111,Minimum Depth of Binary Tree,dp,tree-aggregate,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/DP/P0111_MinimumDepthBinaryTree.lean
112,Path Sum,dp,tree-aggregate,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/DP/P0112_PathSum.lean
113,Path Sum II,dp,backtracking,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/DP/P0113_PathSumII.lean
114,,dp,tree-traversal,False,False,,,False,False,,
115,Distinct Subsequences,dp,dp-grid,True,True,O(mn),,False,True,True,lproofs/Lproofs/Problems/DP/P0115_DistinctSubsequences.lean
116,,dp,tree-traversal,False,False,,,False,False,,
117,,dp,tree-traversal,False,False,,,False,False,,
118,Pascal's Triangle,dp,dp-linear,True,True,O(n²),,False,True,True,lproofs/Lproofs/Problems/DP/P0118_PascalsTriangle.lean
120,,dp,dp-grid,False,False,,,False,False,,
121,,dp,dp-linear,False,False,,,False,False,,
123,,dp,dp-linear,False,False,,,False,False,,
124,Binary Tree Maximum Path Sum,dp,dp-tree,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/DP/P0124_MaxPathSum.lean
125,Valid Palindrome,fold,two-pointers,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/Fold/P0125_ValidPalindrome.lean
126,Word Ladder II,relaxation,bfs,True,True,O(N·L²),,False,True,True,lproofs/Lproofs/Problems/Relaxation/P0126_WordLadderII.lean
127,Word Ladder,relaxation,bfs,True,True,O(N·L²),,False,True,True,lproofs/Lproofs/Problems/Relaxation/P0127_WordLadder.lean
128,,fold,hashing,False,False,,,False,False,,
129,Sum Root to Leaf Numbers,dp,tree-aggregate,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/DP/P0129_SumRootToLeaf.lean
130,Surrounded Regions,relaxation,dfs-flood,True,True,O(mn),,False,True,True,lproofs/Lproofs/Problems/Relaxation/P0130_SurroundedRegions.lean
131,,dp,backtracking,False,False,,,False,False,,
132,,dp,dp-interval,False,False,,,False,False,,
133,Clone Graph,relaxation,graph-other,True,True,O(V+E),,False,True,True,lproofs/Lproofs/Problems/Relaxation/P0133_CloneGraph.lean
136,Single Number,fold,math-bit,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/Fold/P0136_SingleNumber.lean
137,,fold,math-bit,False,False,,,False,False,,
138,Copy List with Random Pointer,fold,linked-list,True,True,,,False,True,True,lproofs/Lproofs/Problems/Relaxation/P0138_CopyListRandomPointer.lean
139,Word Break,dp,dp-linear,True,True,O(n²),,False,True,True,lproofs/Lproofs/Problems/DP/P0139_WordBreak.lean
140,Word Break II,dp,backtracking,True,True,exp,,False,True,True,lproofs/Lproofs/Problems/DP/P0140_WordBreakII.lean
141,,fold,fast-slow,False,False,,,False,False,,
142,,fold,fast-slow,False,False,,,False,False,,
143,,fold,linked-list,False,False,,,False,False,,
148,Sort List,fold,linked-list,True,True,O(n log n),,False,True,True,lproofs/Lproofs/Problems/DP/P0148_SortList.lean
150,Evaluate Reverse Polish Notation,fold,pairing-stack,True,True,,,False,True,True,lproofs/Lproofs/Problems/Fold/P0150_EvalRPN.lean
151,Reverse Words in a String,fold,string-other,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/Fold/P0151_ReverseWords.lean
152,,dp,dp-linear,False,False,,,False,False,,
153,Find Minimum in Rotated Sorted Array,bisection,binary-search,True,True,,,False,True,True,lproofs/Lproofs/Problems/Bisection/P0153_FindMinRotated.lean
160,,fold,linked-list,False,False,,,False,False,,
161,One Edit Distance,fold,two-pointers,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/Fold/P0161_OneEditDistance.lean
162,Find Peak Element,bisection,binary-search,True,True,O(log n),,False,True,True,lproofs/Lproofs/Problems/Bisection/P0162_FindPeakElement.lean
163,Missing Ranges,fold,two-pointers,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/Fold/P0163_MissingRanges.lean
165,,fold,string-other,False,False,,,False,False,,
167,Two Sum II - Input Array Is Sorted,fold,two-pointers,True,True,,,False,True,True,lproofs/Lproofs/Problems/Bisection/P0167_TwoSumSorted.lean
168,,fold,math-bit,False,False,,,False,False,,
169,Majority Element,fold,hashing,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/Fold/P0169_MajorityElement.lean
