company,window,num,rank,family,macro,klass,weight
bloomberg,more-than-six-months,1347,163,hashing,hashing,periph,1.0
bloomberg,more-than-six-months,25,164,linked-list,linked-list,periph,1.0
bloomberg,more-than-six-months,179,165,greedy,greedy,periph,1.0
bloomberg,more-than-six-months,229,166,hashing,hashing,periph,1.0
bloomberg,more-than-six-months,236,167,tree-aggregate,tree,core,1.0
bloomberg,more-than-six-months,287,168,fast-slow,two-pointers,periph,1.0
bloomberg,more-than-six-months,1482,169,binary-search,binary-search,periph,1.0
bloomberg,more-than-six-months,1614,170,pairing-stack,stack,periph,1.0
bloomberg,more-than-six-months,24,171,linked-list,linked-list,periph,1.0
bloomberg,more-than-six-months,29,172,math-bit,math-bit,periph,1.0
bloomberg,more-than-six-months,81,173,binary-search,binary-search,periph,1.0
bloomberg,more-than-six-months,101,174,tree-traversal,tree,core,1.0
bloomberg,more-than-six-months,103,175,bfs,graph-search,core,1.0
bloomberg,more-than-six-months,120,176,dp-grid,dp,core,1.0
bloomberg,more-than-six-months,124,177,dp-tree,dp,core,1.0
bloomberg,more-than-six-months,150,178,pairing-stack,stack,periph,1.0
bloomberg,more-than-six-months,199,179,bfs,graph-search,core,1.0
bloomberg,more-than-six-months,203,180,linked-list,linked-list,periph,1.0
bloomberg,more-than-six-months,231,181,math-bit,math-bit,periph,1.0
bloomberg,more-than-six-months,386,182,dfs-flood,graph-search,periph,1.0
bloomberg,more-than-six-months,410,183,binary-search,binary-search,periph,1.0
bloomberg,more-than-six-months,543,184,tree-aggregate,tree,core,1.0
bloomberg,more-than-six-months,1004,185,sliding-window,sliding-window,periph,1.0
bloomberg,more-than-six-months,1148,186,sql,sql,trivial,1.0
bloomberg,more-than-six-months,1280,187,sql,sql,trivial,1.0
bloomberg,more-than-six-months,76,188,sliding-window,sliding-window,periph,1.0
bloomberg,more-than-six-months,100,189,tree-traversal,tree,core,1.0
bloomberg,more-than-six-months,105,190,tree-construct,tree,periph,1.0
bloomberg,more-than-six-months,176,191,sql,sql,trivial,1.0
bloomberg,more-than-six-months,204,192,number-theory,math-bit,periph,1.0
bloomberg,more-than-six-months,230,193,bst,tree,periph,1.0
bloomberg,more-than-six-months,258,194,math-bit,math-bit,periph,1.0
bloomberg,more-than-six-months,268,195,math-bit,math-bit,periph,1.0
bloomberg,more-than-six-months,274,196,hashing,hashing,periph,1.0
bloomberg,more-than-six-months,402,197,monotonic-stack,stack,periph,1.0
bloomberg,more-than-six-months,1251,198,sql,sql,trivial,1.0
bloomberg,more-than-six-months,1583,199,hashing,hashing,periph,1.0
bloomberg,more-than-six-months,1823,200,math-bit,math-bit,periph,1.0
google,more-than-six-months,1,1,hashing,hashing,periph,1.0
google,more-than-six-months,2,2,linked-list,linked-list,periph,1.0
google,more-than-six-months,88,3,two-pointers,two-pointers,periph,1.0
google,more-than-six-months,4,4,binary-search,binary-search,periph,1.0
google,more-than-six-months,2667,5,trivial,trivial,trivial,1.0
google,more-than-six-months,42,6,monotonic-stack,stack,periph,1.0
google,more-than-six-months,14,7,string-other,string,periph,1.0
google,more-than-six-months,1768,8,string-other,string,periph,1.0
google,more-than-six-months,9,9,math-bit,math-bit,periph,1.0
google,more-than-six-months,3,10,sliding-window,sliding-window,periph,1.0
google,more-than-six-months,15,11,two-pointers,two-pointers,periph,1.0
google,more-than-six-months,121,12,dp-linear,dp,core,1.0
google,more-than-six-months,1757,13,sql,sql,trivial,1.0
google,more-than-six-months,5,14,string-other,string,periph,1.0
google,more-than-six-months,128,15,hashing,hashing,periph,1.0
google,more-than-six-months,70,16,dp-linear,dp,core,1.0
google,more-than-six-months,11,17,two-pointers,two-pointers,periph,1.0
google,more-than-six-months,20,18,pairing-stack,stack,periph,1.0
google,more-than-six-months,53,19,dp-linear,dp,core,1.0
google,more-than-six-months,200,20,dfs-flood,graph-search,periph,1.0
google,more-than-six-months,13,21,string-other,string,periph,1.0
google,more-than-six-months,169,22,hashing,hashing,periph,1.0
google,more-than-six-months,56,23,merge-intervals,intervals,periph,1.0
google,more-than-six-months,7,24,math-bit,math-bit,periph,1.0
google,more-than-six-months,26,25,two-pointers,two-pointers,periph,1.0
google,more-than-six-months,560,26,prefix-sum,prefix-sum,periph,1.0
google,more-than-six-months,21,27,linked-list,linked-list,periph,1.0
google,more-than-six-months,31,28,two-pointers,two-pointers,periph,1.0
google,more-than-six-months,22,29,backtracking,backtracking,core,1.0
google,more-than-six-months,2235,30,trivial,trivial,trivial,1.0
google,more-than-six-months,1526,31,greedy,greedy,periph,1.0
google,more-than-six-months,253,32,diff-array,intervals,periph,1.0
